naics_sub,op_hrs
311.0,6657.672131147541
312.0,3961.777777777778
313.0,4959.375
314.0,5472.0
316.0,7532.5
321.0,7460.2066420664205
322.0,6431.031380753138
323.0,6776.547169811321
324.0,8450.42735042735
325.0,6749.562589928058
326.0,6783.964285714285
327.0,7049.481012658228
331.0,7355.943521594684
332.0,7700.107142857143
333.0,7701.494382022472
334.0,8400.0
335.0,6552.25
336.0,7110.481681034483
337.0,6458.236842105263
339.0,6993.604651162791
