FACILITY_ID,FACILITY_NAME,FIPS,COUNTY,NAICS_x,REPORTING_YEAR,UNIT_NAME,UNIT_TYPE,FUEL_TYPE,TIER,INPUT_HEAT_CAPACITY,INPUT_HEAT_CAPACITY_UNIT,AGGR_HIGH_HEAT_CAPACITY,AGGR_HIGH_HEAT_CAPACITY_UOM,FUEL_COM,FUEL_UNIT,ENERGY_COM_MMBtu,ENERGY_MMBtu_hr,tierID,FacilityID,UnitID,Unit Count,Capacity (mmBtu/hr),Op Hours Per Year,Fuel Category for Unit,Temperature,NAICS_y,Zip,Num_Empl,State,mactID
1004295,PRATT & WHITNEY MIDDLETOWN,9007.0,MIDDLESEX,336412,2013,Boiler #5,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),48.58,mmBtu/hr,,,0.0,gallons,0,0,290,P&G Middletown,Rentech Boiler #5,1,48.58,1500,Light Liquid,350,336,6457,>1000,CT,517
1004295,PRATT & WHITNEY MIDDLETOWN,9007.0,MIDDLESEX,336412,2013,Boiler #6,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),48.58,mmBtu/hr,,,0.0,gallons,0,0,291,P&G Middletown,Rentech Boiler #5,1,48.58,1500,Light Liquid,350,336,6457,>1000,CT,517
1003707,Philip Morris USA,51760.0,RICHMOND CITY,312230,2017,GP-Central Plant Package Boilers,OCS (Other combustion source),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,143.5,mmBtu/hr,342.9194002241713,gallons,47.32287723093565,0.005402154935038316,829,Philip Morris MC,B1,1,143.5,300,Gas 1,350,312,23234,>1000,VA,3221
1003707,Philip Morris USA,51760.0,RICHMOND CITY,312230,2017,GP-Central Plant Package Boilers,OCS (Other combustion source),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,143.5,mmBtu/hr,342.9194002241713,gallons,47.32287723093565,0.005402154935038316,829,Philip Morris MC,B2,1,143.5,700,Gas 1,350,312,23234,>1000,VA,3222
1003707,Philip Morris USA,51760.0,RICHMOND CITY,312221,2017,GP-Central Plant Package Boilers,OCS (Other combustion source),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,143.5,mmBtu/hr,342.9194002241713,gallons,47.32287723093565,0.005402154935038316,830,Philip Morris MC,B1,1,143.5,300,Gas 1,350,312,23234,>1000,VA,3221
1003707,Philip Morris USA,51760.0,RICHMOND CITY,312221,2017,GP-Central Plant Package Boilers,OCS (Other combustion source),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,143.5,mmBtu/hr,342.9194002241713,gallons,47.32287723093565,0.005402154935038316,830,Philip Morris MC,B2,1,143.5,700,Gas 1,350,312,23234,>1000,VA,3222
1003707,Philip Morris USA,51760.0,RICHMOND CITY,312230,2013,GP-Central Plant Package Boilers,OCS (Other combustion source),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,143.5,mmBtu/hr,0.0,gallons,0,0,831,Philip Morris MC,B1,1,143.5,300,Gas 1,350,312,23234,>1000,VA,3221
1003707,Philip Morris USA,51760.0,RICHMOND CITY,312230,2013,GP-Central Plant Package Boilers,OCS (Other combustion source),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,143.5,mmBtu/hr,0.0,gallons,0,0,831,Philip Morris MC,B2,1,143.5,700,Gas 1,350,312,23234,>1000,VA,3222
1003707,Philip Morris USA,51760.0,RICHMOND CITY,312221,2013,GP-Central Plant Package Boilers,OCS (Other combustion source),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,143.5,mmBtu/hr,0.0,gallons,0,0,832,Philip Morris MC,B1,1,143.5,300,Gas 1,350,312,23234,>1000,VA,3221
1003707,Philip Morris USA,51760.0,RICHMOND CITY,312221,2013,GP-Central Plant Package Boilers,OCS (Other combustion source),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,143.5,mmBtu/hr,0.0,gallons,0,0,832,Philip Morris MC,B2,1,143.5,700,Gas 1,350,312,23234,>1000,VA,3222
