FACILITY_ID,FACILITY_NAME,FIPS,COUNTY,NAICS_x,REPORTING_YEAR,UNIT_NAME,UNIT_TYPE,FUEL_TYPE,TIER,AGGR_HIGH_HEAT_CAPACITY,AGGR_HIGH_HEAT_CAPACITY_UOM,INPUT_HEAT_CAPACITY,INPUT_HEAT_CAPACITY_UNIT,FUEL_COM,FUEL_UNIT,ENERGY_COM_MMBtu,ENERGY_MMBtu_hr,tierID,FacilityID,UnitID,Unit Count,Capacity (mmBtu/hr),Op Hours Per Year,Fuel Category for Unit,Temperature,NAICS_y,Zip,Num_Empl,State,mactID
1003859,VISKASE CORPORATION,47105.0,LOUDON COUNTY,326121,2016,GP-Boilers 3 4 5,OCS (Other combustion source),Distillate Fuel Oil No. 1,Tier 1 (Equation C-1),55.6,mmBtu/hr,,,0.0,gallons,0.0,0.0,42,Viskase,Boiler 3,1,55.6,1440.0,Gas 1,350,326,37774,100-499,TN,2930
1003859,VISKASE CORPORATION,47105.0,LOUDON COUNTY,326121,2016,GP-Boilers 3 4 5,OCS (Other combustion source),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),55.6,mmBtu/hr,,,0.0,gallons,0.0,0.0,2295,Viskase,Boiler 3,1,55.6,1440.0,Gas 1,350,326,37774,100-499,TN,2930
1003859,VISKASE CORPORATION,47105.0,LOUDON COUNTY,326121,2011,GP-boilers 1  2  3,OCS (Other combustion source),Kerosene,Tier 1 (Equation C-1),55.6,mmBtu/hr,,,137.90386130000002,gallons,18.61702128,0.002125231,3026,Viskase,Boiler 3,1,55.6,1440.0,Gas 1,350,326,37774,100-499,TN,2930
1003859,VISKASE CORPORATION,47105.0,LOUDON COUNTY,326121,2012,GP-boilers 1  2  3,OCS (Other combustion source),Kerosene,Tier 1 (Equation C-1),55.6,mmBtu/hr,,,19.70055162,gallons,2.659574468,0.000303604,3028,Viskase,Boiler 3,1,55.6,1440.0,Gas 1,350,326,37774,100-499,TN,2930
1003859,VISKASE CORPORATION,47105.0,LOUDON COUNTY,326121,2017,GP-Boilers 3 4 5,OCS (Other combustion source),Kerosene,Tier 1 (Equation C-1),55.6,mmBtu/hr,,,197.0055162,gallons,26.59574468,0.0030360440000000003,3030,Viskase,Boiler 3,1,55.6,1440.0,Gas 1,350,326,37774,100-499,TN,2930
1003859,VISKASE CORPORATION,47105.0,LOUDON COUNTY,326121,2015,GP-boilers 1  2  3,OCS (Other combustion source),Bituminous,Tier 2 (Equation C-2a),55.6,mmBtu/hr,,,2751.0,tons,75283.866,8.59404863,11227,Viskase,Boiler 3,1,55.6,1440.0,Gas 1,350,326,37774,100-499,TN,2930
1005838,NEENAH PAPER MICHIGAN INC,26003.0,ALGER COUNTY,322121,2018,Boiler 2,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,225.0,mmBtu/hr,0.0,gallons,0.0,0.0,244,Neenah Paper MI,Boiler 2,1,225.0,1.0,Light Liquid,350,322,49862,100-499,MI,1836
1005838,NEENAH PAPER MICHIGAN INC,26003.0,ALGER COUNTY,322121,2017,Boiler 2,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,225.0,mmBtu/hr,0.0,gallons,0.0,0.0,246,Neenah Paper MI,Boiler 2,1,225.0,1.0,Light Liquid,350,322,49862,100-499,MI,1836
1005838,NEENAH PAPER MICHIGAN INC,26003.0,ALGER COUNTY,322121,2015,Boiler 2,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,225.0,mmBtu/hr,225.3470344,gallons,31.09789075,0.003549988,248,Neenah Paper MI,Boiler 2,1,225.0,1.0,Light Liquid,350,322,49862,100-499,MI,1836
1005838,NEENAH PAPER MICHIGAN INC,26003.0,ALGER COUNTY,322121,2014,Boiler 2,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,225.0,mmBtu/hr,88.17927434,gallons,12.16873986,0.001389126,250,Neenah Paper MI,Boiler 2,1,225.0,1.0,Light Liquid,350,322,49862,100-499,MI,1836
