,FacilityID,UnitID,Unit Count,Capacity (mmBtu/hr),Op Hours Per Year,Fuel Category for Unit,Temperature,NAICS,Zip,Num_Empl,FIPS
1237,INSABICInnovativePlastics,09-002 Erie Boiler,1,249.0,7200.0,Coal,400,325,47620,>1000,18129
1238,INSABICInnovativePlastics,09-002 Lasker Boiler,1,128.7,7300.0,Coal,400,325,47620,>1000,18129
1239,INConsolidatedGrainandBarge,P17,1,5.0,8400.0,Gas 1,350,311,47620,50-99,18129
1240,INConsolidatedGrainandBarge,P17B,1,57.3,6000.0,Wet Biomass,400,311,47620,50-99,18129
1241,INConsolidatedGrainandBarge,P17C,1,57.3,6000.0,Wet Biomass,400,311,47620,50-99,18129
1242,INConsolidatedGrainandBarge,P18,1,5.0,8400.0,Gas 1,350,311,47620,50-99,18129
1243,INConsolidatedGrainandBarge,P18A,1,5.0,8400.0,Gas 1,350,311,47620,50-99,18129
1244,INCountrymarkCoop,123 (Hydrotreating Unit Reboiler Stabilizer),1,19.94,8760.0,Gas 1,350,324,47620,100-499,18129
1245,INCountrymarkCoop,B1 (Boiler 1),1,52.0,8760.0,Gas 1,350,324,47620,100-499,18129
1246,INCountrymarkCoop,B2 (Boiler 2),1,65.0,8760.0,Gas 1,350,324,47620,100-499,18129
1247,INCountrymarkCoop,B3 (Boiler 3),1,52.0,8760.0,Gas 1,350,324,47620,100-499,18129
1248,INCountrymarkCoop,B4 (Boiler 4),1,84.9,8760.0,Gas 1,350,324,47620,100-499,18129
1249,INSonocoEdinburgh,Boiler EU11,1,20.925,8640.0,Gas 1,350,323,46124,100-499,18005
1252,INSonocoEdinburgh,Boiler EU12,1,20.925,8640.0,Gas 1,350,323,46124,100-499,18005
1255,INSubaruofIndiana,Boilers 1-9,9,5.0,8400.0,Gas 1,350,336,47905,>1000,18157
1258,INTateLyleLafayetteSouth,LA-44,1,227.0,500.0,Gas 1,350,311,47905,100-499,18157
1261,INTateLyleLafayetteSouth,LA-45,1,239.0,8500.0,Coal,400,311,47905,100-499,18157
1264,INTateLyleLafayetteSouth,LA-46,1,49.0,8500.0,Gas 1,350,311,47905,100-499,18157
1267,INWabashNational855,CB1,1,5.0,8400.0,Gas 1,350,336,47905,>1000,18157
1270,INWabashNational855,CB4,1,10.5,2400.0,Gas 1,350,336,47905,>1000,18157
1273,INCargill-Lafayette,Boiler #1,1,60.0,8400.0,Gas 1,350,311,47905,0-49,18157
1276,INCargill-Lafayette,Boiler #2,1,69.0,8400.0,Gas 1,350,311,47905,0-49,18157
1279,INCaterpillar661,BY24010,1,83.3,4380.0,Gas 1,350,332,47905,>1000,18157
1282,INCaterpillar661,BY24011,1,83.3,4380.0,Gas 1,350,332,47905,>1000,18157
1285,INCaterpillar661,BY24012,1,83.3,4380.0,Gas 1,350,332,47905,>1000,18157
1288,INSuperiorEssexCoFortWayne,Kewaunee boilers,1,16.74,5200.0,Gas 1,350,331,46802,100-499,18003
1289,INTateLyleSagamore,11B1,1,125.0,300.0,Gas 1,350,311,47902,100-499,18157
1290,INTateLyleSagamore,11B2,1,125.0,300.0,Gas 1,350,311,47902,100-499,18157
1291,INTateLyleSagamore,11B3,1,125.0,300.0,Gas 1,350,311,47902,100-499,18157
1292,INTateLyleSagamore,31B1,1,231.0,8500.0,Coal,400,311,47902,100-499,18157
1293,INThermafiberIncWabash,Kewanee Boiler EU 1,1,12.5,2200.0,Gas 1,350,327,46992,100-499,18103
1295,INToyotaPrinceton,Boiler #1 - 41.8 mmBTU/hr,1,41.8,8400.0,Gas 1,350,336,47670,>1000,18051
1296,INToyotaPrinceton,Boiler #2 - 41.8 mmBTU/hr,1,41.8,8400.0,Gas 1,350,336,47670,>1000,18051
1297,INToyotaPrinceton,Boiler #3 - 41.8 mmBTU/hr,1,41.8,8400.0,Gas 1,350,336,47670,>1000,18051
1298,INToyotaPrinceton,Small Packaged Boilers,6,5.0,8400.0,Gas 1,350,336,47670,>1000,18051
1299,INUSSteelGaryWorks,CSS40158,1,170.0,7500.0,Process Gas,350,331,46402,>1000,18089
1300,INUSSteelGaryWorks,CSS60160,1,170.0,7500.0,Process Gas,350,331,46402,>1000,18089
1301,INUSSteelGaryWorks,CSS80162,1,249.0,7500.0,Process Gas,350,331,46402,>1000,18089
1302,INUSSteelGaryWorks,CSS80164,1,235.0,7500.0,Process Gas,350,331,46402,>1000,18089
1303,INUSSteelGaryWorks,CSS80165,1,235.0,7500.0,Process Gas,350,331,46402,>1000,18089
1304,INUSSteelGaryWorks,HBB10675,1,39.0,6700.0,Gas 1,350,331,46402,>1000,18089
1305,INUSSteelGaryWorks,O4B10459,1,500.0,8000.0,Gas 1,350,331,46402,>1000,18089
1306,INUSSteelGaryWorks,O4B20460,1,500.0,8000.0,Process Gas,350,331,46402,>1000,18089
1307,INUSSteelGaryWorks,O4B30461,1,500.0,8000.0,Process Gas,350,331,46402,>1000,18089
1308,INUSSteelGaryWorks,OTB10462,1,410.0,8000.0,Process Gas,350,331,46402,>1000,18089
1309,INUSSteelGaryWorks,OTB20463,1,410.0,8000.0,Process Gas,350,331,46402,>1000,18089
1310,INUSSteelGaryWorks,OTB30464,1,410.0,8000.0,Process Gas,350,331,46402,>1000,18089
1311,INUSSteelGaryWorks,OTB50466,1,410.0,8000.0,Process Gas,350,331,46402,>1000,18089
1312,INUSSteelGaryWorks,OTB60467,1,710.0,8000.0,Process Gas,350,331,46402,>1000,18089
1313,INUSSteelGaryWorks,RB1B0508,1,226.0,7800.0,Process Gas,350,331,46402,>1000,18089
1314,INUSSteelGaryWorks,RB2B0509,1,226.0,7800.0,Process Gas,350,331,46402,>1000,18089
1315,ILExxonMobil509,Alky Iso-Stripper Reboiler 7-B-1,1,138.0,8760.0,Heavy Liquid,400,324,60410,500-999,17197
1317,ILExxonMobil509,Auxiliary Boiler 55-B-100,1,600.0,8760.0,Gas 1,350,324,60410,500-999,17197
1319,ILExxonMobil509,Cat. Hydrodesulfurization Stripper Reboiler 3-B-2,1,129.0,8760.0,Gas 1,350,324,60410,500-999,17197
1321,ILExxonMobil509,CCR Reformate Debutanizer Reboiler 2-B-7,1,680.0,8760.0,Gas 1,350,324,60410,500-999,17197
1323,ILExxonMobil509,Lean Oil Still Reboiler 8-B-1,1,61.0,8760.0,Gas 1,350,324,60410,500-999,17197
1325,ILExxonMobil509,PreTreater Debutanizer Reboiler 17-B-2,1,164.0,8760.0,Gas 1,350,324,60410,500-999,17197
1327,ILExxonMobil509,Waste Heat Steam Generator 20-B-1,1,143.0,8760.0,Gas 1,350,324,60410,500-999,17197
1329,ILFlintHillsResources,CB-706,1,370.2,8424.0,Gas 1,350,325,60410,100-499,17197
1331,ILINEOSJoliet,B0016466,1,11.15,8760.0,Gas 1,350,325,60410,100-499,17197
1333,ILINEOSJoliet,B0030279,1,34.5,4380.0,Gas 1,350,325,60410,100-499,17197
1335,ILINEOSJoliet,B0063631,1,34.5,4380.0,Gas 1,350,325,60410,100-499,17197
1337,ILFlintHills,Boiler No. 3,1,51.8,8400.0,Gas 1,350,325,61354,50-99,17099
1340,ILFlintHills,Boiler No. 4,1,58.0,3600.0,Gas 1,350,325,61354,50-99,17099
1343,ILFordChicagoAssemblyPlant,Hot Water Heaters,2,5.0,8400.0,Gas 1,350,336,60633,>1000,17031
1344,ILGreif-130thSt,B-1,1,5.0,8400.0,Gas 1,350,332,60803,50-99,17031
1345,ILGreif-130thSt,B-2,1,5.0,8400.0,Gas 1,350,332,60803,50-99,17031
1346,ILGreif-47thSt,B-1,1,5.0,8400.0,Gas 1,350,332,60632,50-99,17031
1347,ILGreif-47thSt,B-2,1,5.0,8400.0,Gas 1,350,332,60632,50-99,17031
1348,ILHoneywellMetropolis,Boiler No. 1,1,18.0,8400.0,Gas 1,350,325,62960,100-499,17151
1350,ILHoneywellMetropolis,Boiler No. 2,1,18.0,8400.0,Gas 1,350,325,62960,100-499,17151
1352,ILHoneywellMetropolis,Boiler No. 3,1,18.0,8400.0,Gas 1,350,325,62960,100-499,17151
1354,ILHoneywellMetropolis,Boiler No. 4 (Ware Boiler),1,29.0,8400.0,Gas 1,350,325,62960,100-499,17151
1356,ILIncobrasa,Boiler A,1,104.0,8000.0,Gas 1,350,325,60938,100-499,17075
1357,ILIncobrasa,Boiler B,1,14.3,2496.0,Gas 1,350,325,60938,100-499,17075
1358,ILIntnlPaper-ShelbyvilleFood,Boiler #1 (B-1),1,20.9,3024.0,Gas 1,350,322,62565,500-999,17173
1359,ILJLMChemicalsBlueIsland,Boiler 1,1,85.0,8720.0,Light Liquid,350,325,60406,0-49,17031
1360,ILJohnDeereHarvester,B10,1,98.1,8760.0,Gas 1,350,333,61244,>1000,17161
1361,ILJohnDeereHarvester,B7,1,114.0,8760.0,Coal,400,333,61244,>1000,17161
1362,ILJohnDeereHarvester,B8,1,114.0,8400.0,Coal,400,333,61244,>1000,17161
1363,ILJohnDeereHarvester,B9,1,186.0,8760.0,Coal,400,333,61244,>1000,17161
1364,ILJohnDeereHarvester,Metokote Boiler,1,10.3,8400.0,Gas 1,350,333,61244,>1000,17161
1365,ILKeystoneSteel&Wire,B1,1,143.0,8400.0,Light Liquid,350,331,61641,500-999,17143
1366,ILKeystoneSteel&Wire,B3,1,138.0,8400.0,Gas 1,350,331,61641,500-999,17143
1367,KSADMNorthernSun,EU-16,1,75.0,5840.0,Gas 1,350,311,67735,0-49,20181
1368,KSADMNorthernSun,EU-17,1,25.0,600.0,Gas 1,350,311,67735,0-49,20181
1369,KSAshGroveCementChanute,Hot Water Heater,1,5.0,8400.0,Gas 1,350,327,66720,100-499,20205
1372,KSBoeing-Wichita,1,2,5.0,8400.0,Gas 1,350,336,67210,>1000,20173
1373,KSBoeing-Wichita,2,2,5.0,8400.0,Gas 1,350,336,67210,>1000,20173
1374,KSBoeing-Wichita,3,3,5.0,8400.0,Gas 1,350,336,67210,>1000,20173
