FACILITY_NAME,ZIP,NAICS,SIC,REPORTING_YEAR,UNIT_NAME,FUEL_TYPE,FUEL_QUANTITY,FUEL_QUANTITY_UOM,Input_Capacity,Unit,Installed_Year
"APPVION OPERATIONS, INC.",16673,,2621,2015,No.3 power boiler,Coal/Bark/Sludge/Wood,,,180,MMBtu/hr,
"APPVION OPERATIONS, INC.",16673,,2621,2015,No.3 recovery boiler,Black liquid solids/No.6 fuel oil,,,217,MMBtu/hr,
"YORK GROUP, INC.",17406,,3995,2018,Boiler 1,Natural gas,,,8.3,MMBtu/hr,
"YORK GROUP, INC.",17406,,3995,2018,Boiler 2,Natural gas/wood,,,8.3,MMBtu/hr,
"YORK GROUP, INC.",17406,,3995,2018,Boiler 3,Wood,,,11,MMBtu/hr,
ARCOS IND LLC,17851,,3548,2017,York Shipley boiler,Natural gas,,,8.4,MMBtu/hr,
HERSHEY CO/HB REESE CANDY CO,17033,,2066,2018,Miscellaneous boiler,Natural gas/No.2 fuel oil,,,<20,MMBtu/hr,
HERSHEY CO/HB REESE CANDY CO,17033,,2066,2018,Boiler 5,Natural gas/No.2 fuel oil,,,20.9,MMBtu/hr,
HERSHEY CO/HB REESE CANDY CO,17033,,2066,2018,Boiler 3,Natural gas/No.2 fuel oil,,,29.4,MMBtu/hr,
HERSHEY CO/HB REESE CANDY CO,17033,,2066,2018,Boiler 4,Natural gas/No.2 fuel oil,,,29.4,MMBtu/hr,
HERSHEY CO/HB REESE CANDY CO,17033,,2066,2018,Boiler 1,Natural gas/No.2 fuel oil,,,9.9,MMBtu/hr,
HERSHEY CO/HB REESE CANDY CO,17033,,2066,2018,Boiler 2,Natural gas/No.2 fuel oil,,,9.9,MMBtu/hr,
HERSHEY CO/HB REESE CANDY CO,17033,,2066,2018,"Boiler F538, B87",Natural gas,,,1.1,MMBtu/hr,
HERSHEY CO/HB REESE CANDY CO,17033,,2066,2018,Strip mill boiler F863 B048,Natural gas/No.2 fuel oil,,,25,MMBtu/hr,
HERSHEY CO/HB REESE CANDY CO,17033,,2066,2018,INTL boiler,Natural gas,,,13,MMBtu/hr,
LOZIER CORP,17841,,2542,2018,Anthracite boiler,Anthracite coal,,,6.3,MMBtu/hr,
GEN DYNAMICS ORDNANCE & TACTICAL SYS INC,17356,,3483,2020,York shipley boiler,Natural gas,,,11.7,MMBtu/hr,
BOLLMAN HAT CO,19501,,2353,2018,Keeler boiler,Natuarl gas,,,34,MMBtu/hr,
BOLLMAN HAT CO,19501,,2353,2018,Cleaver brooks boiler,Natuarl gas,,,51.3,MMBtu/hr,
CLEAR LAKE LUMBER INC,16434,,2421,2016,Wood fired boiler,Wood,,,17,MMBtu/hr,
DENTSPLY PROSTHETICS US LLC,17405,,3843,2016,Boiler 1,Natural gas,,,5.02,MMBtu/hr,
DENTSPLY PROSTHETICS US LLC,17405,,3843,2016,Boiler 2,Natural gas,,,5.23,MMBtu/hr,
WENGER FEEDS LLC,17570,,2048,2019,Boiler 1,Natural gas/No.2 fuel oil,,,8.16,MMBtu/hr,
"PRODUCTS FINISHING, INC.",16502,,3471,2017,Boiler 1,Natural gas,,,0.65,MMBtu/hr,
"PRODUCTS FINISHING, INC.",16502,,3471,2017,Boiler 2,Natural gas,,,0.65,MMBtu/hr,
INSULATION CORP AMER,18103,,3086,2016,Cleaver brooks boiler,Natural gas,,,4.2,MMBtu/hr,
Alcore Inc,21040,,2679,2015,EU1,Natural gas,,,2.7,MMBtu/hr,
Alcore Inc,21040,,2679,2015,EU2,Natural gas,,,4.3,MMBtu/hr,
American sugar refining inc,21230,,2062,2018,Boiler 1,Natural gas/No.2 fuel oil/No. 6 fuel oil,,,130,MMBtu/hr,
American sugar refining inc,21230,,2062,2018,Boiler 2,Natural gas/No.2 fuel oil/No. 6 fuel oil,,,130,MMBtu/hr,
American sugar refining inc,21230,,2062,2018,Boiler 3,Natural gas/No.2 fuel oil/No. 6 fuel oil,,,130,MMBtu/hr,
American sugar refining inc,21230,,2062,2018,Boiler 4,Natural gas/No.2 fuel oil/No. 6 fuel oil,,,130,MMBtu/hr,
Bimbo Bakeries USA Inc,21704,,2053,2015,A 01,Natural gas,,,9.8,MMBtu/hr,
Bimbo Bakeries USA Inc,21704,,2053,2015,A 02,Natural gas,,,9.8,MMBtu/hr,
Congoleum Corporation,21048,,2661,2018,5-0003,Natural gas/No.2 fuel oil,,,59,MMBtu/hr,
Congoleum Corporation,21048,,2661,2018,5-0004,Natural gas/No.2 fuel oil,,,59,MMBtu/hr,
Congoleum Corporation,21048,,2661,2018,5-0005,Natural gas/No.2 fuel oil,,,59,MMBtu/hr,
Congoleum Corporation,21048,,2661,2018,5-0006,Natural gas/No.2 fuel oil,,,33,MMBtu/hr,
Crown Cork & Seal USA Inc,21221,,3411,2015,,Natural gas,,,1.68,MMBtu/hr,
Diageo North American Inc,21227,,2082,2017,Boiler No. 1,Natural gas,,,25.1,MMBtu/hr,
Diageo North American Inc,21227,,2082,2017,Boiler No. 2,Natural gas,,,12.6,MMBtu/hr,
H & S Bakery Inc,21231,,2051,2015,BLR-1,Natural gas,,,12.75,MMBtu/hr,
H & S Bakery Inc,21231,,2051,2015,BLR-2,Natural gas,,,12.55,MMBtu/hr,
"Kaydon Ring & Seal, Inc",21230,,3592,2019,EU-2,Natural gas/No.2 fuel oil,,,23,MMBtu/hr,
"Kaydon Ring & Seal, Inc",21230,,3592,2019,EU-3,Natural gas,,,23,MMBtu/hr,
Lifoam Industries LLC,21017,,3086,2018,EU-1,Natural gas,,,20.6,MMBtu/hr,
Lifoam Industries LLC,21017,,3086,2018,EU-2,Natural gas,,,10.35,MMBtu/hr,
Mack Trucks Inc,21742,,3714,2016,005HWB-1,Natural gas/distillate oil/residual oil,,,14.7,MMBtu/hr,
Mack Trucks Inc,21742,,3714,2016,005HWB-2,Natural gas/distillate oil/residual oil,,,14.7,MMBtu/hr,
Mack Trucks Inc,21742,,3714,2016,005HWB-3,Natural gas/distillate oil/residual oil,,,16.8,MMBtu/hr,
Mack Trucks Inc,21742,,3714,2016,005HWB-4,Natural gas/distillate oil,,,8.6,MMBtu/hr,
Mack Trucks Inc,21742,,3714,2016,005HWB-5,Natural gas,,,3.36,MMBtu/hr,
Mack Trucks Inc,21742,,3714,2016,001 Temp N,Natural gas,,,8.375,MMBtu/hr,
Maryland & Virginia Milk Producers,20723,,2021,2019,EU-1,Natural gas,,,49,MMBtu/hr,
Maryland & Virginia Milk Producers,20723,,2021,2019,EU-3,Natural gas/No.2 fuel oil,,,29,MMBtu/hr,
MedImmune LLC,21703,,2836,2016,EU-1,Natural gas/diesel,,,32.659,MMBtu/hr,
MedImmune LLC,21703,,2836,2016,EU-2,Natural gas/diesel,,,32.659,MMBtu/hr,
MedImmune LLC,21703,,2836,2016,EU-3,Natural gas/diesel,,,32.659,MMBtu/hr,
MedImmune LLC,21703,,2836,2016,EU-4,Natural gas/diesel,,,32.659,MMBtu/hr,
MedImmune LLC,21703,,2836,2016,EU-10,Natural gas,,,14.288,MMBtu/hr,
MedImmune LLC,21703,,2836,2016,EU-11,Natural gas,,,14.288,MMBtu/hr,
Naval support activity south potomac,22448,,2892,2016,FBE-712-E1,No. 2 fuel oil,,,43,MMBtu/hr,
Naval support activity south potomac,22448,,2892,2016,FBE-712-E3,No. 2 fuel oil,,,97,MMBtu/hr,
Plymouth Tube Company,21801,,3499,2016,EU-1,Natural gas,,,4.2,MMBtu/hr,
Plymouth Tube Company,21801,,3499,2016,EU-2,Natural gas,,,4.2,MMBtu/hr,
PolyOne Design Structures and Solutions LLC,21801,,2754,2016,Boiler No.2,Natural gas,,,15,MMBtu/hr,
PolyOne Design Structures and Solutions LLC,21801,,2754,2016,Temporary rental boiler,Natural gas,,,14.6,MMBtu/hr,
Polystyrene Products Company Inc,21221,,3086,2017,EU-1,Natural gas/No.2 fuel oil,,,4.2,MMBtu/hr,
Polystyrene Products Company Inc,21221,,3086,2017,EU-2,Natural gas/No.2 fuel oil,,,3.3,MMBtu/hr,
Terumo Cardiovascular System Corporation,21921,,3841,2017,EU-1,Natural gas,,,2,MMBtu/hr,
Terumo Cardiovascular System Corporation,21921,,3841,2017,EU-30,Natural gas,,,1.57,MMBtu/hr,
Terumo Cardiovascular System Corporation,21921,,3841,2017,EU-31,Natural gas,,,1.3,MMBtu/hr,
Terumo Medical Corporation,21921,,3841,2017,EU26,Natural gas,,,2.7,MMBtu/hr,
Terumo Medical Corporation,21921,,3841,2017,EU27,Natural gas,,,2.7,MMBtu/hr,
Terumo Medical Corporation,21921,,3841,2017,EU28,Natural gas,,,2.7,MMBtu/hr,
Terumo Medical Corporation,21921,,3841,2017,EU29,Natural gas,,,2.7,MMBtu/hr,
Terumo Medical Corporation,21921,,3841,2017,EU30,Natural gas,,,2,MMBtu/hr,
Terumo Medical Corporation,21921,,3841,2017,EU31,Natural gas,,,2,MMBtu/hr,
United States Gypsum Company,21226,,3275,2018,EU 37,Natural gas,,,2,MMBtu/hr,
United States Gypsum Company,21226,,3275,2018,EU 47,Natural gas,,,2.25,MMBtu/hr,
United States Gypsum Company,21226,,3275,2018,EU 99,Natural gas,,,3,MMBtu/hr,
US COAST GUARD YARD,21226,,3732,2012,EU 2,Natural gas,,,3,MMBtu/hr,
US COAST GUARD YARD,21226,,3732,2012,,natural gas/landfill gas/No. 2 fuel oil,,,65,MMBtu/hr,
US COAST GUARD YARD,21226,,3732,2012,,Natural gas/No.2 fuel oil,,,15,MMBtu/hr,
US COAST GUARD YARD,21226,,3732,2012,,Natural gas/No.2 fuel oil,,,15,MMBtu/hr,
Verso Luke LLC,21540,,2621,2019,PR003,Natural gas/No.2 fuel oil,,,590,MMBtu/hr,
Verso Luke LLC,21540,,2621,2019,PR004,coal,,,785,MMBtu/hr,
Verso Luke LLC,21540,,2621,2019,PR005,Natural gas,,,338,MMBtu/hr,
Verso Luke LLC,21540,,2621,2019,SW001,Distillate oil,,,1.2,MMBtu/hr,
Verso Luke LLC,21540,,2621,2019,SW002,Distillate oil,,,1.2,MMBtu/hr,
Verso Luke LLC,21540,,2621,2019,LCF006,No.2 fuel oil,,,8.375,MMBtu/hr,
W.L. Gore & Associates Inc,21921,,3087,2018,,Natural gas,,,10.4,MMBtu/hr,
W.L. Gore & Associates Inc,21921,,3087,2018,,Natural gas,,,10.4,MMBtu/hr,
W.L. Gore & Associates Inc,21921,,3087,2018,,Natural gas,,,10.4,MMBtu/hr,
"Allegheny Wood Products International, Inc.",26847,,2421,2017,Boiler 1,Wood scrap,,,<10,mmBtu/hr,na
"Allegheny Wood Products International, Inc.",26847,,2421,,Boiler 2-Hurst ,Wood scrap,,,9.6,mmBtu/hr,2016 replaced an old one
Alliant Techsystems Operations LLC,26726,,3764,2019,L-11S,Natural gas,,,9.92,mmBtu/hr,2014
Alliant Techsystems Operations LLC,26726,,3764,2019,L-12S,Natural gas,,,9.96,mmBtu/hr,2014
Alliant Techsystems Operations LLC,26726,,3764,2019,L-23S,Natural gas,,,12,mmBtu/hr,2015
Alliant Techsystems Operations LLC,26726,,3764,2019,L-24S,Natural gas,,,12,mmBtu/hr,2015
Alliant Techsystems Operations LLC,26726,,3764,2019,L-25S,Natural gas,,,12,mmBtu/hr,2015
Alliant Techsystems Operations LLC,26726,,3764,2019,L-26S,Natural gas,,,12,mmBtu/hr,2015
Alliant Techsystems Operations LLC,26726,,3764,2019,L-27S,Natural gas,,,12,mmBtu/hr,2015
Alliant Techsystems Operations LLC,26726,,3764,2019,L-28S,Natural gas,,,12,mmBtu/hr,2015
Alliant Techsystems Operations LLC,26726,,3764,2019,L-29S,Natural gas,,,12,mmBtu/hr,2015
Alliant Techsystems Operations LLC,26726,,3764,2019,L-30S,Natural gas,,,12,mmBtu/hr,2015
Alliant Techsystems Operations LLC,26726,,3764,2019,L-31S,Natural gas,,,12,mmBtu/hr,2015
Alliant Techsystems Operations LLC,26726,,3764,2019,L-32S,Natural gas,,,12,mmBtu/hr,2015
Bayer CropScience,25112,,"2879, 2869",2016,Boiler 13,Natural gas,,,80,mmBtu/hr,2013
Bayer CropScience,25112,,"2879, 2869",2016,Boiler 14,Natural gas,,,80,mmBtu/hr,2013
Bayer CropScience,25112,,"2879, 2869",2016,Boiler 16,Natural gas,,,350,mmBtu/hr,2015
Bayer CropScience,25112,,"2879, 2870",2016,Boiler 17,Natural gas,,,350,mmBtu/hr,2015
Bayer CropScience,25112,,"2879, 2871",2016,Boiler 18,Natural gas,,,350,mmBtu/hr,2015
"Braskem America, Inc.",25530,,2821,2017,Boiler 1,Natural gas,,,77,mmBtu/hr,1961
"Braskem America, Inc.",25530,,2821,2017,Boiler 4,Natural gas,,,99.66,mmBtu/hr,2011
"Braskem America, Inc.",25530,,2821,2017,"H081,Nebraska Boiler, Model# NS-A-20",Natural gas,,,6.3,mmBtu/hr,1993
"Braskem America, Inc.",25530,,2821,2017,"H-082, Nebraska Boiler, Model# NS-A-20",,,,6.3,mmBtu/hr,1993
Clearon Corporation,25303,,2819,2019,H-110,Natural gas,,,26.8,mmBtu/hr,1996
Clearon Corporation,25303,,2819,2019,H-112,Natural gas,,,32.5,mmBtu/hr,2003
"Allegheny Energy Supply Company, LLC",26134,,4911,2019,Aux Blr W3A,,,,19.89,mmBtu/hr,1989
"Allegheny Energy Supply Company, LLC",26134,,4911,2019,Aux Blr W3B,,,,19.89,mmBtu/hr,1989
"American Bituminous Power Partners, L.P.",26574,,4911,2020,Fluid bed boiler 1A,Coal,,,551.9,mmBtu/hr,1992
"American Bituminous Power Partners, L.P.",26574,,4911,2020,Fluid bed boiler 1B,Coal,,,551.9,mmBtu/hr,1992
American Woodmark Corporation,26836,,2512,2016,B1,Wood,,,28.8,mmBtu/hr,2004
American Woodmark Corporation,26836,,2512,2016,B2,Natural gas,,,20.9,mmBtu/hr,2004
Argos USA LLC,25401,,3241,2016,EP0B01,Natural gas,,,1.66,mmBtu/hr,2009
Argos USA LLC,25401,,3241,2016,EP0B02,Natural gas,,,1.66,mmBtu/hr,2009
Armstrong Hardwood Flooring Company,26253,,2426,2017,,Wood,,,48.8,mmBtu/hr,1990
Armstrong Hardwood Flooring Company,26253,,2426,2017,,Wood,,,48.8,mmBtu/hr,1990
Armstrong Hardwood Flooring Company,26253,,2426,2017,,Natural gas,,,33.5,mmBtu/hr,2016
"Braskem America, Inc.",25530,,2821,2017,Boiler 1 B600,Natural gas,,,77,mmBtu/hr,1961
"Braskem America, Inc.",25530,,2821,2017,Boiler 4 B604,Natural gas,,,99.66,mmBtu/hr,2011
"Braskem America, Inc.",25530,,2821,2017,H081,Natural gas,,,6.3,mmBtu/hr,1993
"Braskem America, Inc.",25530,,2821,2017,H082,Natural gas,,,6.3,mmBtu/hr,1993
"Century Aluminum of West Virginia, Inc",26164,,3334,2015,Boiler No.4,Natural gas/No.2 fuel oil,,,76,mmBtu/hr,1997
"Century Aluminum of West Virginia, Inc",26164,,3334,2015,Boiler No.5,Natural gas/No.2 fuel oil,,,37.5,mmBtu/hr,2003
"Columbia Gas Transmission, LLC",25314,,4922,,BLR3,Natural gas,,,3.57,mmBtu/hr,2001
Coco Compressor Station,25071,,4922,2017,BL3,Natural gas,,,4.2,mmBtu/hr,2012
"Columbia Gas Transmission, LLC",25841,,4922,2017,Heating system boiler,Natural gas,,,1.25,mmBtu/hr,na
"Columbia Gas Transmission, LLC",25841,,4922,2017,Water boiler,Natural gas,,,2,mmBtu/hr,na
"Columbia Gas Transmission, LLC",25314,,4922,2017,TEG reboiler 1,Natural gas,,,1,mmBtu/hr,1990
"Columbia Gas Transmission, LLC",25314,,4922,2017,TEG reboiler 2,Natural gas,,,1,mmBtu/hr,1990
"Columbia Gas Transmission, LLC",25314,,4922,2017,Heating system boiler,Natural gas,,,1.512,mmBtu/hr,1999
Lost River Compressor Station,26812,,4922,2018,Wastewater evaporator boiler,Natural gas,,,0.2,mmBtu/hr,1997
"Columbia Gas Transmission, LLC",25275,,4922,2017,Heat system boiler,Natural gas,,,3.68,mmBtu/hr,2016
"Columbia Gas Transmission, LLC",25314,,4922,2017,Heat system boiler,Natural gas,,,3.4,mmBtu/hr,1963
"Columbia Gas Transmission, LLC",25314,,4922,2016,Heat system boiler,Natural gas,,,3.57,mmBtu/hr,2001
"The Chemours Company FC, LLC",26181,,2821,2016,P31,Natural gas,,,181,mmBtu/hr,1989
"The Chemours Company FC, LLC",26181,,2821,,P09,Natural gas,,,249,mmBtu/hr,2020
"The Chemours Company FC, LLC",26181,,2821,,P10,Natural gas,,,249,mmBtu/hr,2020
"The Chemours Company FC, LLC",26181,,2821,,P11,Natural gas,,,249,mmBtu/hr,2020
