FACILITY_NAME,ZIP,NAICS,SIC,REPORTING_YEAR,UNIT_NAME,FUEL_TYPE,FUEL_QUANTITY,FUEL_QUANTITY_UOM,Input_Capacity,Unit,Installed_Year
GLAXOSMITHKLINE LLC,19426,,2834,2016,Boiler 7.1,Natural gas/No.2 fuel oil,,,31.4,MMBtu/hr,
GLAXOSMITHKLINE LLC,19426,,2834,2016,Boiler 7.2,Natural gas/No.2 fuel oil,,,56.8,MMBtu/hr,
GLAXOSMITHKLINE LLC,19426,,2834,2016,Boiler 7.3,Natural gas/No.2 fuel oil,,,56.8,MMBtu/hr,
GLAXOSMITHKLINE LLC,19426,,2834,2016,Boiler 7.4,Natural gas/No.2 fuel oil,,,56.8,MMBtu/hr,
"UTZ QUALITY FOODS, INC",17331,,2096,2014,Boiler,Natural gas/No.2 fuel oil,,,4.186,MMBtu/hr,
PIXELLE SPECIALTY SOLUTIONS LLC,17362,,2621,2020,#5 power boiler,Bituminous/No.6 fuel oil/Mix HWD&SWD 50%/WWTP sludge,,,545,MMBtu/hr,
PIXELLE SPECIALTY SOLUTIONS LLC,17362,,2621,2020,#3 recovery boiler,No.2 fuel oil/low S #6 oil,,,692.4,MMBtu/hr,
PIXELLE SPECIALTY SOLUTIONS LLC,17362,,2621,2020,#6 power boiler,No.2 fuel oil/Natural gas/propane,,,363.5,MMBtu/hr,
PIXELLE SPECIALTY SOLUTIONS LLC,17362,,2621,2020,#7 power boiler,No.2 fuel oil/Natural gas/propane,,,394.7,MMBtu/hr,
HIGHWAY MATERIALS INC,19031,,2951,2019,HC-120,Natural gas,,,1.2,MMBtu/hr,
RAD MFG LLC,18635,,2426,2017,Wood fired boiler,Wood,,,12.73,MMBtu/hr,
THE BOEING CO,19142,,3721,2017,CLEAVER BROOKS 1,Natural gas/No.6 fuel oil,,,42,MMBtu/hr,
THE BOEING CO,19142,,3721,2017,CLEAVER BROOKS 2,Natural gas/No.6 fuel oil,,,42,MMBtu/hr,
THE BOEING CO,19142,,3721,2017,Nebraska boiler,Natural gas/No.2 fuel oil,,,73,MMBtu/hr,
THE BOEING CO,19142,,3721,2017,Cleaver brooks 4,Natural gas/No.2 fuel oil,,,24.5,MMBtu/hr,
THE BOEING CO,19142,,3721,2017,CB-5,Natural gas/No.2 fuel oil,,,49,MMBtu/hr,
THE BOEING CO,19142,,3721,2017,CB-6,Natural gas/No.2 fuel oil,,,49,MMBtu/hr,
THE BOEING CO,19142,,3721,2017,CB-7,Natural gas/No.2 fuel oil,,,49,MMBtu/hr,
CHICAGO RIVET & MACH CO,16686,,3452,2016,Kewanee boiler 1,Natural gas,,,2.65,MMBtu/hr,
CHICAGO RIVET & MACH CO,16686,,3452,2016,Kewanee boiler 2,Natural gas,,,2.65,MMBtu/hr,
DIAZ MFG CO LLC,18801,,2431,2019,Wood fired boiler,Wood,,,7,MMBtu/hr,
G&W PA LAB LLC,18960,,2834,2020,Boiler A,No.2 fuel oil,,,9.2,MMBtu/hr,
G&W PA LAB LLC,18960,,2834,2020,Boiler B,No.2 fuel oil,,,9.2,MMBtu/hr,
G&W PA LAB LLC,18960,,2834,2020,Boiler C,No.2 fuel oil,,,9.2,MMBtu/hr,
UNITED GILSONITE LAB,18501,,2850,2017,Main buidling boiler,n.a.,,,2.249,MMBtu/hr,
UNITED GILSONITE LAB,18501,,2850,2017,Building 2 boiler,n.a.,,,1.701,MMBtu/hr,
TOP GUN INVESTMENT CORP II,16121,,3316,2015,Steam boiler,Natural gas,,,33.5,MMBtu/hr,
PLAIN N FANCY KITCHENS INC,17088,,2434,2018,Boiler,LPG,,,1.4,MMBtu/hr,
SCHOTT NORTH AMER INC,18704,,,2018,Boiler,Natural gas,,,2.05,MMBtu/hr,
SCHOTT NORTH AMER INC,18704,,,2018,Boiler,Natural gas,,,3.4,MMBtu/hr,
MILCO IND INC,17815,,2262,2015,Kewanee boiler,Natural gas/Oil.2 fuel oil,,,19.6,MMBtu/hr,
MILCO IND INC,17815,,2262,2015,Kewanee boiler,Natural gas/Oil.2 fuel oil,,,19.6,MMBtu/hr,
BIMBO BAKERIES USA INC,18840,,2051,2019,BG 1188-LT natural gas boiler,Natural gas,,,3.4,MMBtu/hr,
BIMBO BAKERIES USA INC,18840,,2051,2019,BG 1188-LT natural gas boiler,Natural gas,,,3.4,MMBtu/hr,
BLUE TRIANGLE HARDWOODS LLC,15537,,2421,2016,Wood fired boiler,Sawdust,,,11.7,MMBtu/hr,
